t_idx,best_total_cost
882,0
883,0
884,0
885,0
886,0
887,0
888,0
889,0.547969
890,0.549246
891,0.547342
892,0.549276
893,0.548832
894,0.20098
895,0.217585
896,0.184871
897,0
898,0
899,0
900,0
901,0
902,0
903,0
904,0
905,0
906,0
907,0
908,0.704113
909,0.685096
910,0.666873
911,0.637072
912,0.618851
913,0.612569
914,0.598265
915,0.591983
916,0.552202
917,0.566095
918,0.519473
919,0.475598
920,0.443117
921,0.43043
922,0.447608
923,0.481765
924,0.378008
925,0.36393
926,0.435152
927,0.438551
928,0.464582
929,0.462292
930,0.464148
931,0.465634
932,0.462134
933,0.458506
934,0.454041
935,0.453826
936,0.456573
937,0.458603
938,0.460308
939,0.460019
940,0.463644
941,0.458127
942,0.461282
943,0.462431
944,0.459298
945,0.456849
946,0.460755
947,0.463603
948,0.392691
949,0.342827
950,0.295338
951,0.246866
952,0.186659
953,0.199618
954,0.227822
955,0.256957
956,0.264662
957,0.235368
958,0.221649
959,0.170363
960,0.136665
961,0.146012
962,0.139022
963,0.14988
964,0.180738
965,0.166351
966,0.185576
967,0.173614
968,0.104725
969,0.115139
970,0.111168
971,0.117849
972,0.0648234
973,0.067035
974,0.092105
975,0.0914566
976,0.118621
977,0.087463
978,0.0735911
979,0.0795367
980,0.0546745
981,0.0701571
982,0.118456
983,0.120485
984,0.128466
985,0.151217
986,0.123802
987,0.0969718
988,0.0687652
989,0.0664322
990,0.0673461
991,0.101069
992,0.125387
993,0.109462
994,0.0674446
995,0.0657145
996,0.0732655
997,0.100453
998,0.137808
999,0.122728
1000,0.104674
1001,0.0981533
1002,0.116567
1003,0.116387
1004,0.0945481
1005,0.0734677
1006,0.0937524
1007,0.136887
1008,0.127644
1009,0.125066
1010,0.112631
1011,0.100106
1012,0.100919
1013,0.102094
1014,0.0993709
1015,0.110211
1016,0.123975
1017,0.132392
1018,0.0806186
1019,0.0689177
1020,0.0501301
1021,0.0570926
1022,0.116154
1023,0.112895
1024,0.103922
1025,0.107301
1026,0.0858775
1027,0.0803958
1028,0.0829266
1029,0.0440846
1030,0.0464141
1031,0.0402462
1032,0.0759488
1033,0.0795931
1034,0.126546
1035,0.100883
1036,0.0791705
1037,0.0465488
1038,0.0250349
1039,0.0536706
1040,0.0371446
1041,0.0350134
1042,0.0329707
1043,0.0389124
1044,0.0218219
1045,0.0298519
1046,0.024493
1047,0.027453
1048,0.0268689
1049,0.0257503
1050,0.0315216
1051,0.0360881
1052,0.0372683
1053,0.0337084
1054,0.0354235
1055,0.0333169
1056,0.0316197
1057,0.0244438
1058,0.0315576
1059,0.0295814
1060,0.0199861
1061,0.0258839
1062,0.0198208
1063,0.0214904
1064,0.0178949
1065,0.0422576
1066,0.0220342
1067,0.0417927
1068,0.0447722
1069,0.018068
1070,0.0183925
1071,0.0196013
1072,0.0172377
1073,0.017343
1074,0.0132333
1075,0.0168043
1076,0.0147961
1077,0.0167135
1078,0.0300994
1079,0.0140541
1080,0.0213127
1081,0.0209432
1082,0.014761
1083,0.0149362
1084,0.0245598
1085,0.0129236
1086,0.00936101
1087,0.0117082
1088,0.0115904
1089,0.00951933
1090,0.0190517
1091,0.0089262
1092,0.0108704
1093,0.0147854
1094,0.00730023
1095,0.0146723
1096,0.00508437
1097,0.00661846
1098,0.00733869
1099,0.00699316
1100,0.00623229
1101,0.00533717
1102,0.0058697
1103,0.00794617
1104,0.00723188
1105,0.0063922
1106,0.00400501
1107,0.0027918
1108,0.000540731
1109,0.00072068
1110,0.00580247
1111,0.10451
1112,0.0566673
1113,0.029208
1114,0.0732187
1115,0.0291809
1116,0.00193994
1117,0.00219746
1118,0.0124205
1119,0.139544
1120,0.0206569
1121,0.276969
1122,0.292667
1123,0.218126
1124,0.276943
1125,0.238399
1126,0.246251
1127,0.212658
1128,0.0305945
1129,0.113019
1130,0.374289
1131,0.421243
1132,0.40849
1133,0.565758
1134,0.496374
1135,0.591851
1136,0.658009
1137,0.661985
1138,0.653727
1139,0.537304
1140,0.51451
1141,0.631093
1142,0.689645
1143,0.596604
1144,0.574519
1145,0.619879
1146,0.608968
1147,0.631664
1148,0.732537
1149,0.632107
1150,0.704234
1151,0.719182
1152,0.630294
1153,0.671972
1154,0.692016
1155,0.673962
1156,0.681826
1157,0.720918
1158,0.774733
1159,0.737398
1160,0.799642
1161,0.725238
1162,0.673081
1163,0.763869
1164,0.758238
1165,0.793895
1166,0.840497
1167,0.864738
1168,0.828876
1169,0.863701
1170,0.86355
1171,0.906388
1172,0.941472
1173,0.923424
1174,0.930666
1175,0.965348
1176,0.942458
1177,0.917787
1178,0.956685
