t_idx,stamp_sec,x,y,yaw,vx,wz,frame_id
186,1756708106.683802,3.291659,1.305330,-0.721603,0.295543,0.146267,"odom"
187,1756708106.750547,3.299241,1.288297,-0.713969,0.289867,0.150456,"odom"
188,1756708106.817127,3.317649,1.272538,-0.703634,0.276357,0.155696,"odom"
189,1756708106.883890,3.343385,1.269978,-0.688613,0.277020,0.138759,"odom"
190,1756708106.950460,3.363534,1.245698,-0.682166,0.282399,0.124812,"odom"
191,1756708107.017107,3.382290,1.230644,-0.671995,0.273997,0.138766,"odom"
192,1756708107.083824,3.387570,1.214900,-0.667974,0.312108,0.117490,"odom"
193,1756708107.150468,3.404496,1.192795,-0.662177,0.278537,0.122720,"odom"
194,1756708107.217125,3.423077,1.178474,-0.652671,0.272580,0.138768,"odom"
195,1756708107.283814,3.439124,1.179568,-0.640352,0.286202,0.133355,"odom"
196,1756708107.350705,3.452959,1.174414,-0.629188,0.279953,0.135451,"odom"
197,1756708107.417147,3.472708,1.160199,-0.620201,0.287618,0.127076,"odom"
198,1756708107.483825,3.488971,1.153154,-0.610114,0.276065,0.143993,"odom"
199,1756708107.551660,3.507226,1.136806,-0.601507,0.278691,0.134408,"odom"
200,1756708107.617131,3.527165,1.123292,-0.591445,0.300224,0.141943,"odom"
201,1756708107.683912,3.540297,1.118000,-0.582411,0.280324,0.118522,"odom"
202,1756708107.750457,3.558783,1.101147,-0.575527,0.267642,0.127940,"odom"
203,1756708107.817135,3.579441,1.087916,-0.565174,0.291687,0.151497,"odom"
204,1756708107.883806,3.593340,1.081703,-0.556742,0.284674,0.109960,"odom"
205,1756708107.950461,3.598089,1.072093,-0.550969,0.287661,0.121649,"odom"
206,1756708108.017139,3.619034,1.059357,-0.543075,0.297156,0.111008,"odom"
207,1756708108.083823,3.643018,1.055233,-0.532690,0.292228,0.115209,"odom"
208,1756708108.150461,3.664017,1.042973,-0.525568,0.290769,0.092870,"odom"
209,1756708108.217125,3.677145,1.020973,-0.523971,0.290015,0.086589,"odom"
210,1756708108.283847,3.695418,1.010495,-0.518494,0.306338,0.090781,"odom"
211,1756708108.351391,3.738833,1.027579,-0.497792,0.274957,0.108921,"odom"
212,1756708108.417127,3.760081,1.016164,-0.489173,0.274760,0.126891,"odom"
213,1756708108.483915,3.785725,1.002402,-0.482108,0.274872,0.116227,"odom"
214,1756708108.550464,3.791947,0.983182,-0.480068,0.318566,0.087638,"odom"
215,1756708108.617106,3.813185,0.972208,-0.474703,0.281842,0.080118,"odom"
216,1756708108.683858,3.826446,0.980671,-0.464084,0.272013,0.103496,"odom"
217,1756708108.750468,3.854383,0.965251,-0.458310,0.279694,0.085354,"odom"
218,1756708108.817122,3.876609,0.954395,-0.451554,0.296726,0.086409,"odom"
219,1756708108.883797,3.888722,0.947259,-0.448619,0.283619,0.036501,"odom"
220,1756708108.950462,3.905749,0.929636,-0.448565,0.267790,0.049241,"odom"
221,1756708109.017141,3.926760,0.919587,-0.444586,0.273302,0.063022,"odom"
222,1756708109.083833,3.949166,0.906564,-0.440484,0.277816,0.089728,"odom"
223,1756708109.150553,3.970824,0.896461,-0.434174,0.314240,0.077895,"odom"
224,1756708109.217118,3.993599,0.899271,-0.423603,0.287783,0.094982,"odom"
225,1756708109.283914,4.012245,0.890950,-0.417444,0.285215,0.093936,"odom"
226,1756708109.350449,4.035726,0.882717,-0.409921,0.297628,0.103516,"odom"
227,1756708109.417114,4.058331,0.873020,-0.402011,0.283714,0.113104,"odom"
228,1756708109.483814,4.070706,0.865015,-0.396012,0.313109,0.118520,"odom"
229,1756708109.550466,4.085730,0.855673,-0.389665,0.302436,0.089758,"odom"
230,1756708109.617126,4.107331,0.846813,-0.390210,0.315846,-0.072274,"odom"
231,1756708109.683811,4.123256,0.836910,-0.397893,0.312649,-0.128642,"odom"
232,1756708109.750456,4.148174,0.837933,-0.404586,0.277121,-0.157422,"odom"
233,1756708109.817149,4.170225,0.828329,-0.415799,0.275232,-0.169105,"odom"
234,1756708109.883810,4.192227,0.830691,-0.422126,0.281842,-0.171215,"odom"
235,1756708109.951473,4.205969,0.830169,-0.431368,0.275705,-0.147819,"odom"
236,1756708110.017124,4.223754,0.821913,-0.437760,0.184977,0.007675,"odom"
237,1756708110.083901,4.238002,0.813410,-0.429673,0.211274,0.189772,"odom"
238,1756708110.150470,4.252020,0.807153,-0.411664,0.199709,0.279282,"odom"
239,1756708110.217119,4.285633,0.803883,-0.386342,0.168546,0.341084,"odom"
240,1756708110.283849,4.295015,0.800201,-0.367050,0.137423,0.291045,"odom"
241,1756708110.350478,4.301466,0.786151,-0.348542,0.133466,0.289953,"odom"
242,1756708110.417134,4.312202,0.782394,-0.328237,0.115664,0.279249,"odom"
243,1756708110.483804,4.307102,0.776113,-0.314949,0.119441,0.228139,"odom"
244,1756708110.550462,4.316902,0.770253,-0.299953,0.116969,0.207901,"odom"
245,1756708110.617064,4.325938,0.767547,-0.284805,0.112359,0.217508,"odom"
246,1756708110.683811,4.333541,0.762366,-0.270959,0.114247,0.236689,"odom"
247,1756708110.750686,4.338962,0.765845,-0.253741,0.115372,0.220646,"odom"
248,1756708110.817114,4.348762,0.763400,-0.239210,0.132659,0.195260,"odom"
249,1756708110.883889,4.359129,0.748990,-0.226583,0.136957,0.243066,"odom"
250,1756708110.950469,4.367046,0.743315,-0.207983,0.138324,0.284558,"odom"
251,1756708111.017113,4.379130,0.740930,-0.185932,0.145406,0.313345,"odom"
252,1756708111.083801,4.383910,0.744283,-0.165202,0.162611,0.337800,"odom"
253,1756708111.150462,4.396939,0.742311,-0.140152,0.162234,0.359103,"odom"
254,1756708111.217149,4.415084,0.721824,-0.116463,0.139269,0.416637,"odom"
255,1756708111.283825,4.420927,0.724607,-0.089298,0.137380,0.445430,"odom"
256,1756708111.350482,4.429513,0.701170,-0.062591,0.135492,0.441096,"odom"
257,1756708111.417133,4.441002,0.700663,-0.031212,0.138324,0.443359,"odom"
258,1756708111.483800,4.459954,0.687564,-0.006726,0.115982,0.412477,"odom"
259,1756708111.550581,4.469758,0.672200,0.017247,0.101967,0.332543,"odom"
260,1756708111.617130,4.477039,0.672420,0.039234,0.085518,0.313331,"odom"
261,1756708111.683881,4.492860,0.684913,0.060778,0.083132,0.340050,"odom"
262,1756708111.750462,4.491562,0.676131,0.086929,0.088548,0.437960,"odom"
263,1756708111.817147,4.499219,0.676952,0.121235,0.091587,0.496594,"odom"
264,1756708111.883799,4.505788,0.678586,0.151725,0.090478,0.510386,"odom"
265,1756708111.950448,4.504120,0.669494,0.187402,0.092239,0.512500,"odom"
